Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2020;E.coli;3GC;50789;6,4;3250;Hospital Lab;EARS;Urine
2021;E.coli;3GC;59954;6,3;3777;Hospital Lab;EARS;Urine
2017;E.coli;ciprofloxacin;30855;18,1;5585;Hospital Lab;EARS;Urine
2018;E.coli;ciprofloxacin;36132;16,7;6034;Hospital Lab;EARS;Urine
2019;E.coli;ciprofloxacin;39945;15,9;6351;Hospital Lab;EARS;Urine
2020;E.coli;ciprofloxacin;46525;14,8;6886;Hospital Lab;EARS;Urine
2021;E.coli;ciprofloxacin;56806;14,9;8464;Hospital Lab;EARS;Urine
2017;E.coli;ciprofloxacin;44990;14,9;6704;Private lab;EARS;Urine
2018;E.coli;ciprofloxacin;56991;16,7;9517;Private lab;EARS;Urine
2019;E.coli;ciprofloxacin;57294;15;8594;Private lab;EARS;Urine
2020;E.coli;ciprofloxacin;57051;15;8558;Private lab;EARS;Urine
2021;E.coli;ciprofloxacin;62445;13,1;8180;Private lab;EARS;Urine
2017;E.coli;colistin;9608;0,3;29;Hospital Lab;EARS;Urine
2018;E.coli;colistin;20880;0,6;125;Hospital Lab;EARS;Urine
2019;E.coli;colistin;22559;0,8;180;Hospital Lab;EARS;Urine
2020;E.coli;colistin;20417;1;204;Hospital Lab;EARS;Urine
2021;E.coli;colistin;18003;1;180;Hospital Lab;EARS;Urine
2017;E.coli;colistin;7620;0,6;46;Private lab;EARS;Urine
2018;E.coli;colistin;9238;0,9;83;Private lab;EARS;Urine
2019;E.coli;colistin;5328;1;53;Private lab;EARS;Urine
2020;E.coli;colistin;5405;1,4;76;Private lab;EARS;Urine
2021;E.coli;colistin;14692;0,6;88;Private lab;EARS;Urine
2011;E.coli;3GC;na;na;na;Belgium;AMR;All samples
2012;E.coli;3GC;na;na;na;Belgium;AMR;All samples
2013;E.coli;3GC;na;na;na;Belgium;AMR;All samples
2014;E.coli;3GC;37196;7,6;2830;Belgium;AMR;All samples
2015;E.coli;3GC;62082;8,6;5353;Belgium;AMR;All samples
2016;E.coli;3GC;138083;4;5457;Belgium;AMR;All samples
2017;E.coli;3GC;62900;8;5053;Belgium;AMR;All samples
2018;E.coli;3GC;96189;10,1;9719;Belgium;AMR;All samples
2019;E.coli;3GC;86832;9,9;8566;Belgium;AMR;All samples
2020;E.coli;3GC;87152;9,2;8025;Belgium;AMR;All samples
2021;E.coli;3GC;91915;7,8;7210;Belgium;AMR;All samples
2011;E.coli;carbapenem(méropenem);na;na;na;Belgium;AMR;All samples
2012;E.coli;carbapenem(méropenem);na;na;na;Belgium;AMR;All samples
2013;E.coli;carbapenem(méropenem);na;na;na;Belgium;AMR;All samples
2014;E.coli;carbapenem(méropenem);na;na;na;Belgium;AMR;All samples
2015;E.coli;carbapenem(méropenem);86268;0,05;44;Belgium;AMR;All samples
2016;E.coli;carbapenem(méropenem);177510;0,05;82;Belgium;AMR;All samples
2017;E.coli;carbapenem(méropenem);89036;0,13;113;Belgium;AMR;All samples
2018;E.coli;carbapenem(méropenem);97429;0,12;115;Belgium;AMR;All samples
2019;E.coli;carbapenem(méropenem);86832;0,13;114;Belgium;AMR;All samples
2020;E.coli;carbapenem(méropenem);86816;0,1;87;Belgium;AMR;All samples
2021;E.coli;carbapenem(méropenem);91915;0,06;51;Belgium;AMR;All samples
