Year;Pathogen;Antibiotic;Sample_size;Percent_resistant;Number_resistants;Region;Surveillance;Matrix
2013;K.pneumoniae;AG, FQ and 3GC;na;na;na;Belgium;EARS;Urine
2014;K.pneumoniae;AG, FQ and 3GC;na;na;na;Belgium;EARS;Urine
2015;K.pneumoniae;AG, FQ and 3GC;na;na;na;Belgium;EARS;Urine
2016;K.pneumoniae;AG, FQ and 3GC;8332;5,2;433;Belgium;EARS;Urine
2017;K.pneumoniae;AG, FQ and 3GC;12091;5,2;629;Belgium;EARS;Urine
2018;K.pneumoniae;AG, FQ and 3GC;13948;5,1;711;Belgium;EARS;Urine
2019;K.pneumoniae;AG, FQ and 3GC;13824;4,2;581;Belgium;EARS;Urine
2020;K.pneumoniae;AG, FQ and 3GC;16402;4,1;672;Belgium;EARS;Urine
2021;K.pneumoniae;AG, FQ and 3GC;931;7,6;71;Belgium;EARS;Urine
2011;K.pneumoniae;AG, FQ and 3GC;3080;12,40;382;Neighbours;EARS;
2012;K.pneumoniae;AG, FQ and 3GC;2756;10,45;288;Neighbours;EARS;
2013;K.pneumoniae;AG, FQ and 3GC;3779;14,02;530;Neighbours;EARS;
2014;K.pneumoniae;AG, FQ and 3GC;4340;13,89;603;Neighbours;EARS;
2015;K.pneumoniae;AG, FQ and 3GC;5160;12,07;623;Neighbours;EARS;
2016;K.pneumoniae;AG, FQ and 3GC;6992;11,13;778;Neighbours;EARS;
2017;K.pneumoniae;AG, FQ and 3GC;8046;10,81;870;Neighbours;EARS;
2018;K.pneumoniae;AG, FQ and 3GC;8471;10,61;899;Neighbours;EARS;
2019;K.pneumoniae;AG, FQ and 3GC;9188;9,61;883;Neighbours;EARS;
2020;K.pneumoniae;AG, FQ and 3GC;11718;8,99;1054;Neighbours;EARS;
2021;K.pneumoniae;AG, FQ and 3GC;;;;Neighbours;EARS;
2011;K.pneumoniae;AG, FQ and 3GC;15241;21,47;3273;Europe;EARS;
2012;K.pneumoniae;AG, FQ and 3GC;15895;20,98;3334;Europe;EARS;
2013;K.pneumoniae;AG, FQ and 3GC;18136;19,86;3601;Europe;EARS;
2014;K.pneumoniae;AG, FQ and 3GC;19451;20,71;4029;Europe;EARS;
2015;K.pneumoniae;AG, FQ and 3GC;22220;20,26;4502;Europe;EARS;
2016;K.pneumoniae;AG, FQ and 3GC;29589;18,34;5426;Europe;EARS;
2017;K.pneumoniae;AG, FQ and 3GC;31514;17,97;5664;Europe;EARS;
2018;K.pneumoniae;AG, FQ and 3GC;37402;18,53;6930;Europe;EARS;
2019;K.pneumoniae;AG, FQ and 3GC;40270;17,83;7179;Europe;EARS;
2020;K.pneumoniae;AG, FQ and 3GC;38094;18,71;7127;Europe;EARS;
2021;K.pneumoniae;AG, FQ and 3GC;;;;Europe;EARS;
2011;K.pneumoniae;carbapenem (méropenem) ;na;na;na;Belgium;AMR;All samples
2012;K.pneumoniae;carbapenem (méropenem) ;na;na;na;Belgium;AMR;All samples
2013;K.pneumoniae;carbapenem (méropenem) ;na;na;na;Belgium;AMR;All samples
2014;K.pneumoniae;carbapenem (méropenem) ;na;na;na;Belgium;AMR;All samples
2015;K.pneumoniae;carbapenem (méropenem) ;15565;1,89;294;Belgium;AMR;All samples
2016;K.pneumoniae;carbapenem (méropenem) ;18838;1,67;314;Belgium;AMR;All samples
2017;K.pneumoniae;carbapenem (méropenem) ;19330;2,04;395;Belgium;AMR;All samples
2018;K.pneumoniae;carbapenem (méropenem) ;21772;2,18;474;Belgium;AMR;All samples
2019;K.pneumoniae;carbapenem (méropenem) ;20037;2,12;424;Belgium;AMR;All samples
2020;K.pneumoniae;carbapenem (méropenem) ;19338;1,77;342;Belgium;AMR;All samples
2021;K.pneumoniae;carbapenem (méropenem) ;21219;1,13;240;Belgium;AMR;All samples
2011;K.pneumoniae;3CG;na;na;na;Belgium;AMR;All samples
2012;K.pneumoniae;3CG;na;na;na;Belgium;AMR;All samples
2013;K.pneumoniae;3CG;na;na;na;Belgium;AMR;All samples
2014;K.pneumoniae;3CG;6031;16,9;1022;Belgium;AMR;All samples
2015;K.pneumoniae;3CG;11119;20,8;2316;Belgium;AMR;All samples
2016;K.pneumoniae;3CG;11347;20,2;2289;Belgium;AMR;All samples
2017;K.pneumoniae;3CG;12470;18,1;2253;Belgium;AMR;All samples
2018;K.pneumoniae;3CG;21559;24,1;5192;Belgium;AMR;All samples
2019;K.pneumoniae;3CG;20037;22,7;4557;Belgium;AMR;All samples
2020;K.pneumoniae;3CG;19245;21,2;4089;Belgium;AMR;All samples
2021;K.pneumoniae;3CG;21219;18,3;3880;Belgium;AMR;All samples
